model,mAP,recall@1,precision@1,success@1,mrr@1,recall@5,precision@5,success@5,mrr@5,recall@10,precision@10,success@10,mrr@10,recall@20,precision@20,success@20,mrr@20,recall@50,precision@50,success@50,mrr@50
dnmsr,0.3293208240898404,0.09555888555888556,0.51,0.51,0.51,0.29344411144411153,0.37400000000000005,0.58,0.5345,0.3274469974469977,0.21899999999999997,0.61,0.5392619047619047,0.36583172383172397,0.12350000000000005,0.69,0.5448758828890408,0.4251064491064493,0.05719999999999997,0.77,0.547322342382871
clip,0.03070269532916175,0.0020408163265306124,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.024149659863945582,0.016326530612244896,0.05102040816326531,0.02295918367346939,0.03605442176870748,0.01020408163265306,0.061224489795918366,0.023979591836734693,0.06054421768707483,0.00969387755102041,0.12244897959183673,0.027781287953778,0.14829931972789115,0.00918367346938776,0.24489795918367346,0.03194405221858308
